	name	clean_text
82	Нижегородская областная социально- экологическая общественная организация «Зеленый мир»	нижегородская областная социально экологическая общественная организация зеленый мир 
83	ФОНД «ГРАЖДАНСКОЕ ДЕЙСТВИЕ»	фонд гражданское действие 
84	Некоммерческое партнерство «Альянс фондов местных сообществ Пермского края»	некоммерческое партнерство альянс фондов местных сообществ пермского края 
85	Кабардино-Балкарский республиканский общественный правозащитный центр Региональное отделение Общероссийского общественного движения «За права человека»	кабардино балкарский республиканский общественный правозащитный центр региональное отделение общероссийского общественного движения за права человека 
86	ЧЕЧЕНСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ «ПРАВОЗАЩИТНЫЙ ЦЕНТР ЧЕЧЕНСКОЙ РЕСПУБЛИКИ»	чеченская региональная общественная организация правозащитный центр чеченской республики 
87	Межрегиональный общественный экологический фонд «ИСАР-СИБИРЬ»	межрегиональный общественный экологический фонд исар сибирь 
88	ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ «ПЕРМСКИЙ РЕГИОНАЛЬНЫЙ ПРАВОЗАЩИТНЫЙ ЦЕНТР»	общественная организация пермский региональный правозащитный центр 
89	Региональная общественная организация по улучшению качества жизни общества «Сибирская линия жизни»	региональная общественная организация по улучшению качества жизни общества сибирская линия жизни 
90	Фонд в поддержку демократии «ГОЛОС»	фонд в поддержку демократии голос 
91	Региональная общественная организация «Еврейский общинный культурный центр Рязанской области «Хесед-Тшува»	региональная общественная организация еврейский общинный культурный центр рязанской области хесед тшува 
92	Региональная общественная организация «Экологическая вахта Сахалина»	региональная общественная организация экологическая вахта сахалина 
93	Автономная некоммерческая организация «Информационно- исследовательский центр «Ясавэй Манзара»	автономная некоммерческая организация информационно исследовательский центр ясавэй манзара 
94	Межрегиональная общественная благотворительная организация «Общество защиты прав потребителей и охраны окружающей среды «ПРИНЦИПЪ»	межрегиональная общественная благотворительная организация общество защиты прав потребителей и охраны окружающей среды принципъ 
95	Автономная некоммерческая организация «Дальневосточный центр развития гражданских инициатив и социального партнерства»	автономная некоммерческая организация дальневосточный центр развития гражданских инициатив и социального партнерства 
96	Союз общественных объединений «Российский исследовательский центр по правам человека»	союз общественных объединений российский исследовательский центр по правам человека 
97	Фонд содействия развитию гражданского общества и правам человека «Женщины Дона»	фонд содействия развитию гражданского общества и правам человека женщины дона 
98	Красноярское региональное экологическое общественное движение «Друзья сибирских лесов»	красноярское региональное экологическое общественное движение друзья сибирских лесов 
99	Омская городская общественная организация «Фотоклуб «Со-бытие»	омская городская общественная организация фотоклуб со бытие 
100	Региональное общественное учреждение научно-информационный центр «МЕМОРИАЛ»	региональное общественное учреждение научно информационный центр мемориал 
101	Иркутская региональная общественная организация «Байкальская Экологическая Волна»	иркутская региональная общественная организация байкальская экологическая волна 
102	Некоммерческая организация «Фонд защиты гласности»	некоммерческая организация фонд защиты гласности 
103	Автономная некоммерческая организация «Институт прав человека»	автономная некоммерческая организация институт прав человека 
104	Межрегиональная общественная организация «Центр содействия коренным малочисленным народам Севера»	межрегиональная общественная организация центр содействия коренным малочисленным народам севера 
105	Местная общественная благотворительная экологическая организация Зеленый Мир	местная общественная благотворительная экологическая организация зеленый мир
106	Автономная некоммерческая организация «Правозащитная организация «МАШР»	автономная некоммерческая организация правозащитная организация машр 
107	Калининградская региональная общественная организация содействия развитию женского сообщества «Мирженщины»	калининградская региональная общественная организация содействия развитию женского сообщества мирженщины 
108	Региональная общественная организация «Информационно-исследовательский центр «Панорама»	региональная общественная организация информационно исследовательский центр панорама 
109	Забайкальское краевое общественное учреждение «Общественный экологический центр «Даурия»	забайкальское краевое общественное учреждение общественный экологический центр даурия 
110	Городская общественная организация «Екатеринбургское общество «МЕМОРИАЛ»	городская общественная организация екатеринбургское общество мемориал 
111	Межрегиональная общественная организация «Комитет по предотвращению пыток»	межрегиональная общественная организация комитет по предотвращению пыток 
112	Межрегиональная общественная организация «Бюро общественных расследований»	межрегиональная общественная организация бюро общественных расследований 
113	Нижегородская региональная общественная организация «Институт прогнозирования и урегулирования политических конфликтов»	нижегородская региональная общественная организация институт прогнозирования и урегулирования политических конфликтов 
114	Городская общественная организация «Рязанское историко-просветительское и правозащитное общество «Мемориал» (Рязанский Мемориал)	городская общественная организация рязанское историко просветительское и правозащитное общество мемориал рязанский мемориал 
115	Санкт-Петербургская общественная организация «Общество содействия социальной защите граждан «Петербургская ЭГИДА»	санкт петербургская общественная организация общество содействия социальной защите граждан петербургская эгида 
116	Челябинский региональный орган общественной самодеятельности – женское общественное объединение «Женщины Евразии»	челябинский региональный орган общественной самодеятельности женское общественное объединение женщины евразии 
117	Омская региональная общественная организация «Центр охраны здоровья и социальной защиты «СИБАЛЬТ»	омская региональная общественная организация центр охраны здоровья и социальной защиты сибальт 
118	Челябинский региональный орган общественной самодеятельности«Уральская правозащитная группа»	челябинский региональный орган общественной самодеятельности уральская правозащитная группа 
119	Челябинский региональный общественный фонд поддержки демократии «Уральский демократический фонд»	челябинский региональный общественный фонд поддержки демократии уральский демократический фонд 
120	Благотворительный фонд социально- правовой помощи «Сфера»	благотворительный фонд социально правовой помощи сфера 
121	Межрегиональная общественная организация «Центр гражданского образования и прав человека»	межрегиональная общественная организация центр гражданского образования и прав человека 
122	Некоммерческая организация Международный Фонд развития коренных малочисленных народов Севера, Сибири и Дальнего Востока «БАТАНИ»	некоммерческая организация международный фонд развития коренных малочисленных народов севера сибири и дальнего востока батани 
123	Автономная некоммерческая организация «Центр социально- трудовых прав»	автономная некоммерческая организация центр социально трудовых прав 
124	Региональная общественная экологическая организация Республики Алтай «Архар»	региональная общественная экологическая организация республики алтай архар 
125	Автономная некоммерческая организация «Издательский дом «Валентин Мануйлов»	автономная некоммерческая организация издательский дом валентин мануйлов 
126	Региональная общественная организация «Школа экологии Души «Тенгри»	региональная общественная организация школа экологии души тенгри 
127	Автономная некоммерческая организация «Ганзейское бюро/Информационное бюро земли Шлезвиг-Гольштейн в Калининграде»	автономная некоммерческая организация ганзейское бюро информационное бюро земли шлезвиг гольштейн в калининграде 
128	Красноярская региональная общественная организация «Агентство общественных инициатив»	красноярская региональная общественная организация агентство общественных инициатив 
129	Саратовская Региональная Общественная Организация «Социум»	саратовская региональная общественная организация социум 
130	Пермская региональная общественная организация «Пермская гражданская палата»	пермская региональная общественная организация пермская гражданская палата 
131	Региональная общественная организация Интеграционный центр «Миграция и Закон»	региональная общественная организация интеграционный центр миграция и закон 
132	Некоммерческое партнерство по поддержке социально-профилактических программ в сфере общественного здоровья «ЭСВЕРО»	некоммерческое партнерство по поддержке социально профилактических программ в сфере общественного здоровья эсверо 
133	Фонд содействия защите здоровья и социальной справедливости имени Андрея Рылькова	фонд содействия защите здоровья и социальной справедливости имени андрея рылькова
134	Алтайская региональная спортивно- патриотическая молодежная общественная организация «Арктика»	алтайская региональная спортивно патриотическая молодежная общественная организация арктика 
135	Автономная некоммерческая организация «Свободное слово»	автономная некоммерческая организация свободное слово 
136	Фонд «Институт экономического анализа»	фонд институт экономического анализа 
137	Пензенская региональная молодежная общественная организация по профилактике негативных явлений среди молодежи «Панацея»	пензенская региональная молодежная общественная организация по профилактике негативных явлений среди молодежи панацея 
138	Самарская региональная общественная организация «Клуб выпускников американских программ»	самарская региональная общественная организация клуб выпускников американских программ 
139	Автономная некоммерческая организация «Издательство «Парк Гагарина»	автономная некоммерческая организация издательство парк гагарина 
